ticker,name,sector,price,pe_ratio,pb_ratio,roe,debt_to_equity,dividend_yield,dma50,dma200,year_high,year_low,momentum_1m_pct,pct_from_52w_high,score,news_sentiment,news_mentions
TCS.NS,TATA CONSULTANCY SERV LT,Technology,2200.8,16.0,7.2630305,0.47743,10.211,2.95,2286.75,2610.73,3287.16,1966.02,-7.33,-33.05,66.4,0,0
KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,419.0,20.529152,2.299658,0.16101499,27.398,0.16,396.63,403.86,452.42,344.9,6.78,-7.39,65.87,0,0
NTPC.NS,NTPC LTD,Utilities,333.4,10.192602,1.5918336,0.16101499,118.127,3.7,338.12,348.73,409.97,309.84,-2.11,-18.68,64.87,0,0
ICICIBANK.NS,ICICI BANK LTD.,Financial Services,1379.3,17.82502,2.600603,0.16073999,27.398,0.87,1419.66,1350.31,1467.63,1177.67,-1.95,-6.02,62.7,0,0
ITC.NS,ITC LTD,Consumer Defensive,259.85,16.394321,4.4903145,0.16101499,3.293,6.16,275.9,321.06,406.57,255.5,-6.7,-36.09,61.79,0,0
INFY.NS,INFOSYS LIMITED,Technology,1037.7,13.476623,4.593843,0.32,9.541,4.82,1113.57,1310.91,1691.4,982.4,-11.69,-38.65,61.63,0,0
AXISBANK.NS,AXIS BANK LIMITED,Financial Services,1246.0,14.025214,1.7364717,0.13352999,27.398,0.08,1261.72,1270.92,1417.21,1099.15,1.3,-12.08,61.18,0,0
SBIN.NS,STATE BANK OF INDIA,Financial Services,995.7,10.649198,1.4777843,0.15177,27.398,1.74,1038.49,1003.17,1212.84,806.56,-8.06,-17.9,58.72,0,0
WIPRO.NS,WIPRO LTD,Technology,167.4,13.296267,2.1373851,0.16128999,27.398,4.78,178.16,210.0,263.22,165.16,-8.57,-36.4,58.6,0,0
HDFCBANK.NS,HDFC BANK LTD,Financial Services,708.25,15.480874,1.7984425,0.13838,27.398,1.84,746.17,850.49,1003.9,681.9,-2.31,-29.45,56.7,0,2
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,Basic Materials,11000.0,37.878788,4.222483,0.16101499,29.432,2.18,11572.14,11607.74,12847.76,10118.47,-6.03,-14.38,53.84,0,0
SUNPHARMA.NS,SUN PHARMACEUTICAL IND L,Healthcare,1840.0,36.493458,5.2827263,0.16101499,5.517,0.86,1929.03,1773.52,2046.9,1533.99,-4.76,-10.11,53.39,0,1
RELIANCE.NS,RELIANCE INDUSTRIES LTD,Energy,1257.5,22.780796,1.8823583,0.16101499,36.653,0.48,1301.2,1390.59,1604.38,1249.8,-4.52,-21.62,53.35,0,2
LT.NS,LARSEN & TOUBRO LTD.,Industrials,3930.7,32.573963,4.947575,0.16101499,97.64,0.97,3965.49,3929.54,4397.05,3256.29,-3.44,-10.61,52.7,0,0
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,1831.1,38.315544,7.056833,0.20151,100.415,1.31,1909.18,1923.34,2147.47,1718.87,-5.57,-14.73,49.43,0,0
MARUTI.NS,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,12400.0,27.173912,3.6382124,0.16101499,0.096,1.13,13547.08,14426.13,17197.29,12079.68,-10.82,-27.9,47.33,0,0
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Consumer Defensive,1927.0,42.736748,9.289612,0.16101499,3.016,2.28,2074.02,2251.97,2619.75,1926.2,-6.59,-26.44,45.69,1,1
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,1034.5,31.742867,5.6424913,0.16101499,314.833,0.52,1067.35,983.39,1176.4,783.09,-5.16,-12.06,42.77,0,0
ASIANPAINT.NS,ASIAN PAINTS LIMITED,Basic Materials,2472.5,49.74849,11.097048,0.16101499,17.847,1.11,2661.02,2564.93,2960.02,2096.81,-10.27,-16.47,40.36,0,0
TITAN.NS,TITAN COMPANY LIMITED,Consumer Cyclical,5009.5,76.92721,28.32178,0.16101499,195.001,0.3,4896.76,4198.94,5186.7,3292.3,-1.07,-3.42,25.24,0,0
